,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_k,param_metric,param_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,split5_test_average_precision,split6_test_average_precision,split7_test_average_precision,split8_test_average_precision,split9_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1
318,0.32868006229400637,0.132138245322032,0.12254176139831544,0.0026365966770858854,7,cityblock,29,uniform,"{'k': 7, 'metric': 'cityblock', 'neighbors': 29, 'weights': 'uniform'}",0.8522727272727273,0.8409090909090909,0.8409090909090909,0.8505747126436781,0.8505747126436781,0.9195402298850575,0.8850574712643678,0.28735632183908044,0.08045977011494253,0.5287356321839081,0.6936389759665622,0.27815807639632434,89,0.5384615384615384,0.44932432432432423,1.0,1.0,1.0,0.8783783783783784,0.5384615384615384,0.19074844074844072,0.20478170478170477,0.7390852390852392,0.6539241164241164,0.30028696030983565,1,0.5,0.5,0.5,0.5,0.5,0.7307692307692308,0.6153846153846154,0.20062370062370063,0.14241164241164242,0.6912681912681913,0.48804573804573803,0.1786667642989482,312,0.2132867132867133,0.25924954962222047,0.9999999999999999,1.0,1.0,0.830404453603174,0.3645819767277257,0.10585389216073873,0.13592154971465317,0.25602986756832913,0.5165328002683555,0.3691019906586027,2,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.375,0.03125,0.06976744186046512,0.36923076923076925,0.14768271584596554,0.215311527920151,328
375,0.37641611099243166,0.07655823309015915,0.1210127592086792,0.0024056830276519277,8,cityblock,28,uniform,"{'k': 8, 'metric': 'cityblock', 'neighbors': 28, 'weights': 'uniform'}",0.8522727272727273,0.8409090909090909,0.8409090909090909,0.8505747126436781,0.8505747126436781,0.9080459770114943,0.8850574712643678,0.3218390804597701,0.08045977011494253,0.5402298850574713,0.6970872518286312,0.27167076357105524,29,0.5384615384615384,0.4261583011583011,1.0,1.0,1.0,0.8700623700623702,0.5322245322245323,0.1865904365904366,0.20166320166320167,0.7167359667359667,0.6471896346896346,0.30207175604426223,2,0.5,0.5,0.5,0.5,0.5,0.6923076923076923,0.6153846153846154,0.2208939708939709,0.14241164241164242,0.6980249480249481,0.4869022869022869,0.17133704973257352,327,0.2132867132867133,0.23764960529666412,1.0,1.0,1.0,0.8185067590320874,0.3505108053810126,0.10378159818008437,0.13472274851585198,0.23994538806868146,0.5098403617761095,0.37173947592586026,27,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.375,0.03278688524590164,0.06976744186046512,0.375,0.14081098826619223,0.19938834141732212,371
314,0.27537834644317627,0.13734149296619508,0.12070677280426026,0.003019719879679551,7,cityblock,25,uniform,"{'k': 7, 'metric': 'cityblock', 'neighbors': 25, 'weights': 'uniform'}",0.8522727272727273,0.8409090909090909,0.8409090909090909,0.8620689655172413,0.8505747126436781,0.9195402298850575,0.8850574712643678,0.26436781609195403,0.08045977011494253,0.5517241379310345,0.6947884012539186,0.28099833111834405,69,0.5384615384615384,0.44449806949806947,0.9855212355212355,0.9999999999999999,1.0,0.8908523908523909,0.5166320166320166,0.1845114345114345,0.1891891891891892,0.7104989604989606,0.6460164835164834,0.30340911532804493,3,0.5,0.5,0.5,0.5384615384615384,0.5,0.7307692307692308,0.6153846153846154,0.18711018711018712,0.14241164241164242,0.7047817047817049,0.49189189189189186,0.183055985483524,258,0.2132867132867133,0.24169652186893567,0.9512987012987013,0.9999999999999998,1.0,0.8227653209829571,0.34843459637980184,0.10249846296530514,0.13104270762650874,0.23716346153846155,0.5048186485947384,0.3664332197192813,48,0.0,0.0,0.0,0.14285714285714288,0.0,0.631578947368421,0.375,0.030303030303030304,0.06976744186046512,0.38095238095238093,0.16304589433414401,0.21094927816294795,209
347,0.24005460739135742,0.0556494762370962,0.12287468910217285,0.005262521309965276,7,euclidean,29,uniform,"{'k': 7, 'metric': 'euclidean', 'neighbors': 29, 'weights': 'uniform'}",0.8522727272727273,0.8409090909090909,0.8409090909090909,0.8505747126436781,0.8505747126436781,0.9310344827586207,0.8850574712643678,0.3333333333333333,0.08045977011494253,0.5517241379310345,0.7016849529780564,0.2713113150681099,4,0.5384615384615384,0.4034749034749034,1.0,1.0,1.0,0.8762993762993762,0.563929313929314,0.15644490644490644,0.20634095634095634,0.7104989604989606,0.6455449955449956,0.30711995267360737,4,0.5,0.5,0.5,0.5,0.5,0.7692307692307692,0.6153846153846154,0.22765072765072766,0.14241164241164242,0.7047817047817049,0.495945945945946,0.18155262853248197,193,0.2132867132867133,0.2586580086580087,0.9999999999999998,1.0,1.0,0.8275063308098676,0.3596518067886073,0.09994978147637648,0.13657714412024757,0.23716346153846155,0.5132793246678282,0.37105854907976443,9,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.375,0.03333333333333333,0.06976744186046512,0.38095238095238093,0.15590531561461793,0.23209128575610422,261
317,0.27739012241363525,0.06704983074234078,0.12159028053283691,0.0017724267127069576,7,cityblock,28,uniform,"{'k': 7, 'metric': 'cityblock', 'neighbors': 28, 'weights': 'uniform'}",0.8522727272727273,0.8409090909090909,0.8409090909090909,0.8505747126436781,0.8505747126436781,0.9080459770114943,0.8850574712643678,0.3218390804597701,0.08045977011494253,0.5287356321839081,0.6959378265412749,0.27235544061657907,41,0.5384615384615384,0.4261583011583011,1.0,1.0,1.0,0.8700623700623702,0.49012474012474017,0.18918918918918917,0.20166320166320167,0.735966735966736,0.6451626076626076,0.3040628626007915,5,0.5,0.5,0.5,0.5,0.5,0.6923076923076923,0.6153846153846154,0.2208939708939709,0.14241164241164242,0.6912681912681913,0.4862266112266112,0.1705144936837384,345,0.2132867132867133,0.23764960529666412,1.0,1.0,1.0,0.8185067590320874,0.3446010685891045,0.1218912000202914,0.13472274851585198,0.25523621677467834,0.5125894311515391,0.36896418914268514,13,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.375,0.03278688524590164,0.06976744186046512,0.36923076923076925,0.14023406518926915,0.1987171058686662,374
346,0.2514358043670654,0.0502781546324364,0.12250015735626221,0.0035888750597805265,7,euclidean,28,uniform,"{'k': 7, 'metric': 'euclidean', 'neighbors': 28, 'weights': 'uniform'}",0.8522727272727273,0.8409090909090909,0.8409090909090909,0.8505747126436781,0.8505747126436781,0.9310344827586207,0.8735632183908046,0.3563218390804598,0.08045977011494253,0.5287356321839081,0.7005355276907002,0.2688898899128294,6,0.5384615384615384,0.3778957528957529,0.9797297297297297,1.0,1.0,0.8695426195426196,0.5582120582120582,0.18035343035343038,0.20478170478170477,0.7416839916839917,0.6450660825660826,0.3039369971082851,6,0.5,0.5,0.5,0.5,0.5,0.7692307692307692,0.5769230769230769,0.24116424116424118,0.14241164241164242,0.6912681912681913,0.49209979209979204,0.17584855374471176,256,0.2132867132867133,0.2581168831168831,0.9464285714285714,1.0,1.0,0.8195326002554919,0.35462387377055454,0.11162270959384063,0.13592154971465317,0.26177884615384617,0.5101311747320555,0.3608820679796914,24,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2666666666666667,0.034482758620689655,0.06976744186046512,0.36923076923076925,0.1440147636378591,0.2227322399624757,355
289,0.27756972312927247,0.07540965725500691,0.12414884567260742,0.003223308631521796,6,euclidean,29,uniform,"{'k': 6, 'metric': 'euclidean', 'neighbors': 29, 'weights': 'uniform'}",0.8522727272727273,0.8409090909090909,0.8409090909090909,0.8505747126436781,0.8505747126436781,0.9310344827586207,0.8850574712643678,0.3333333333333333,0.08045977011494253,0.5287356321839081,0.6993861024033439,0.2726662192523697,10,0.5384615384615384,0.4034749034749034,1.0,1.0,1.0,0.8762993762993762,0.5161122661122661,0.15644490644490644,0.20634095634095634,0.7333679833679834,0.643050193050193,0.30931375405843775,7,0.5,0.5,0.5,0.5,0.5,0.7692307692307692,0.6153846153846154,0.22765072765072766,0.14241164241164242,0.6912681912681913,0.49459459459459465,0.18003713870060312,220,0.2132867132867133,0.2586580086580087,0.9999999999999998,1.0,1.0,0.8275063308098676,0.34977879843733506,0.09994978147637648,0.13657714412024757,0.25498820090166247,0.5140744977690211,0.37019501455608805,6,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.375,0.03333333333333333,0.06976744186046512,0.36923076923076925,0.15473315444245678,0.23097867372648895,272
315,0.24898414611816405,0.07671096604953039,0.12153637409210205,0.0031240014154498607,7,cityblock,26,uniform,"{'k': 7, 'metric': 'cityblock', 'neighbors': 26, 'weights': 'uniform'}",0.8522727272727273,0.8409090909090909,0.8409090909090909,0.8505747126436781,0.8505747126436781,0.9080459770114943,0.8735632183908046,0.28735632183908044,0.08045977011494253,0.5287356321839081,0.6913401253918495,0.2764664510841017,143,0.5384615384615384,0.4387065637065637,1.0,0.9999999999999999,0.9999999999999999,0.8409563409563411,0.49064449064449067,0.18243243243243246,0.1938669438669439,0.7416839916839917,0.6426752301752302,0.3034782486564776,8,0.5,0.5,0.5,0.5,0.5,0.6923076923076923,0.5769230769230769,0.20062370062370063,0.14241164241164242,0.6912681912681913,0.48035343035343037,0.17120708349751207,417,0.2132867132867133,0.2409659549490058,0.9999999999999998,1.0,1.0,0.8093562941123917,0.3486544346404841,0.09870588366045381,0.13225022104332448,0.26177884615384617,0.5104998347846219,0.3701126399760659,21,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.2666666666666667,0.03125,0.06976744186046512,0.36923076923076925,0.12924704333134568,0.1883827284310599,417
316,0.32297468185424805,0.10402315887005503,0.12109813690185547,0.0016637457304539505,7,cityblock,27,uniform,"{'k': 7, 'metric': 'cityblock', 'neighbors': 27, 'weights': 'uniform'}",0.8522727272727273,0.8409090909090909,0.8409090909090909,0.8505747126436781,0.8505747126436781,0.9195402298850575,0.8850574712643678,0.27586206896551724,0.08045977011494253,0.5287356321839081,0.6924895506792059,0.27985315646578135,121,0.5384615384615384,0.4551158301158301,1.0,1.0,1.0,0.8570686070686073,0.5062370062370063,0.13201663201663202,0.19698544698544698,0.737006237006237,0.6422891297891298,0.31015646685457093,9,0.5,0.5,0.5,0.5,0.5,0.7307692307692308,0.6153846153846154,0.19386694386694386,0.14241164241164242,0.6912681912681913,0.4873700623700624,0.17976186932245294,321,0.2132867132867133,0.24165120593692022,0.9999999999999998,0.9999999999999998,1.0,0.8127166343371386,0.3487250144316348,0.09457533416924563,0.13316115221741356,0.25549223315972697,0.5099608287538792,0.37112749691698266,26,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.375,0.03076923076923077,0.06976744186046512,0.36923076923076925,0.1476346389228886,0.21533757292045316,329
259,0.30700881481170655,0.06493938657145713,0.12139599323272705,0.002270532509563262,6,cityblock,28,uniform,"{'k': 6, 'metric': 'cityblock', 'neighbors': 28, 'weights': 'uniform'}",0.8522727272727273,0.8409090909090909,0.8409090909090909,0.8505747126436781,0.8505747126436781,0.9080459770114943,0.8850574712643678,0.3218390804597701,0.08045977011494253,0.5287356321839081,0.6959378265412749,0.27235544061657907,41,0.5384615384615384,0.4261583011583011,1.0,1.0,1.0,0.8700623700623702,0.49012474012474017,0.15592515592515593,0.20166320166320167,0.7354469854469854,0.6417842292842293,0.3091561926774657,10,0.5,0.5,0.5,0.5,0.5,0.6923076923076923,0.6153846153846154,0.2208939708939709,0.14241164241164242,0.6912681912681913,0.4862266112266112,0.1705144936837384,345,0.2132867132867133,0.23764960529666412,1.0,1.0,1.0,0.8185067590320874,0.3446010685891045,0.09758619262439756,0.13472274851585198,0.25523621677467834,0.5101589304119496,0.3716004891732073,23,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.375,0.03278688524590164,0.06976744186046512,0.36923076923076925,0.14023406518926915,0.1987171058686662,374
